review_number,entity_type,source_iri,source_label,source_definition,candidate_rank,target_iri,target_label,target_definition,label_similarity,context_similarity,combined_similarity,ranking_band,reciprocal_best,manual_classification,assurance_relevance,reviewer_decision,review_notes
30,individual,https://example.org/mod-sbd#DSTL-SbD03-C1-R1-C3,DSTL-SbD03-C1-R1-C3 — Ensure the cyber risk assessment considers infrastructure used for delivery.,,1,https://example.org/ontology/sora#CY-OSO05-I-Criterion_01,Cyber safety risk assessment,,0.311803,0.231584,0.283727,low review priority,True,Partial,,Accept,
31,individual,https://example.org/mod-sbd#DSTL-SbD02-C2-R5-C4,DSTL-SbD02-C2-R5-C4 — Manage security requirements throughout the programme lifecycle.,,1,https://example.org/ontology/sora#CY-OSO05-I-Criterion_04,Lifecycle security appraisal,,0.341011,0.172895,0.282171,low review priority,True,Partial,,Accept,
32,individual,https://example.org/mod-sbd#DSTL-SbD07-C5-R5-C2,DSTL-SbD07-C5-R5-C2 — Feed lessons learned from incidents and resilience exercises into design standards.,,1,https://example.org/ontology/sora#CY-OSO04-X-Criterion_01,Design standards cyber coverage,,0.292635,0.248773,0.277283,low review priority,True,Partial,,Accept,
33,individual,https://example.org/mod-sbd#DSTL-SbD01-C2-R2-C1,DSTL-SbD01-C2-R2-C1 — Use Security Working Groups to manage cybersecurity decisions.,,1,https://example.org/ontology/sora#CybersecurityIntegrity,Cybersecurity Integrity,,0.382031,0.077494,0.275443,low review priority,True,Missing,,Reject,
34,individual,https://example.org/mod-sbd#MOD,Ministry of Defence (MOD),"The Ministry of Defence, represented as a named organisation individual rather than a subclass of Organisation.",1,https://example.org/ontology/sora#DefenceinDepth,Defence in Depth,,0.316374,0.15744,0.260747,low review priority,True,Missing,,Reject,
35,individual,https://example.org/mod-sbd#DSTL-SbD03-C1-R2-C3,DSTL-SbD03-C1-R2-C3 — Incorporate sector-specific threats into risk assessments.,,1,https://example.org/ontology/sora#SORA_Annex_E_2_5,Specific Operations Risk Assessment (SORA) Annex E,,0.319856,0.103077,0.243984,very low textual similarity,True,Missing,,Reject,
36,individual,https://example.org/mod-sbd#DSTL-SbD04-C3-R4-C1,DSTL-SbD04-C3-R4-C1 — Understand the impact of data compromise or unavailability on essential functions.,,1,https://example.org/ontology/sora#Availability,Availability,,0.358353,0.0,0.232929,very low textual similarity,True,Partial,,Accept,
37,individual,https://example.org/mod-sbd#DSTL-SbD01-Criterion_01,Mission and Context,,1,https://example.org/ontology/sora#OSO_20,OSO_20: Human Factors evaluation and HMI appropriate for the mission,,0.271299,0.136397,0.224083,very low textual similarity,True,Weak,,Investigate,
38,individual,https://example.org/mod-sbd#DSTL-SbD04-C3-R3-C4,DSTL-SbD04-C3-R3-C4 — Understand third-party handling of critical data.,,1,https://example.org/ontology/sora#CompetentThirdParty,Competent Third Party,,0.250639,0.149661,0.215297,very low textual similarity,True,Weak,,Investigate,
39,individual,https://example.org/mod-sbd#DSTL-SbD04-C3-R6-C3,DSTL-SbD04-C3-R6-C3 — Use appropriate cryptographic protections.,,1,https://example.org/ontology/sora#OSO_06,OSO_06: C3 link are appropriate for operation,,0.268302,0.112697,0.21384,very low textual similarity,True,Weak,,Investigate,
40,individual,https://example.org/mod-sbd#DSTL-SbD02-C4-R1-C1,"DSTL-SbD02-C4-R1-C1 — Understand common types of cyberattacks, including their methods and techniques.",,1,https://example.org/ontology/sora#Cyberattack,Cyberattack,,0.303614,0.0,0.197349,very low textual similarity,True,Partial,,Accept,
41,individual,https://example.org/mod-sbd#DSTL-SbD02-C1-R4-C2,DSTL-SbD02-C1-R4-C2 — Fill key roles with appropriately skilled personnel who have sufficient authority and support.,,1,https://example.org/ontology/sora#MaintenanceStaff,Maintenance Personnel,,0.230258,0.113384,0.189352,very low textual similarity,True,Weak,,Investigate,
42,individual,https://example.org/mod-sbd#DSTL-SbD04-C3-R3-C1,DSTL-SbD04-C3-R3-C1 — Understand where critical data is stored.,,1,https://example.org/ontology/sora#Store,Store,,0.275496,0.0,0.179073,very low textual similarity,True,Partial,,Accept,
43,individual,https://example.org/mod-sbd#DSTL-SbD07-C5-R1-C4,DSTL-SbD07-C5-R1-C4 — Use recovery planning to establish post-incident operational norms.,,1,https://example.org/ontology/sora#Operation,Operation,,0.263505,0.0,0.171278,very low textual similarity,True,Weak,,Investigate,
44,individual,https://example.org/mod-sbd#DSTL-SbD01-Criterion_02,Governance,,1,https://example.org/ontology/sora#Maintenance,Maintenance,,0.263106,0.0,0.171019,very low textual similarity,True,Missing,,Reject,
45,individual,https://example.org/mod-sbd#DSTL-SbD03-C4-R2-C1,DSTL-SbD03-C4-R2-C1 — Make vulnerability management systematic.,,1,https://example.org/ontology/sora#AE-OSO05-I-Criterion_01,System safety and reliability,,0.253893,0.0,0.165031,very low textual similarity,True,Weak,,Investigate,
46,individual,https://example.org/mod-sbd#DSTL-SbD01-C3-R4-C3,DSTL-SbD01-C3-R4-C3 — Formally establish the Risk Appetite.,,1,https://example.org/ontology/sora#CY-OSO01-A-C3-M1-C3,CY-OSO01-A-C3-M1-C3,,0.079012,0.121686,0.093948,very low textual similarity,True,Missing,,Reject,
